Rank,Country,Country Code,Gold,Silver,Bronze,Total
1,United States,US,40,44,42,126
2,China,CHN,40,27,24,91
3,Japan,JPN,20,12,13,45
4,Australia,AUS,18,19,16,53
5,France,FRA,16,26,22,64
6,Netherlands,NED,15,7,12,34
7,South Korea,KOR,13,9,10,32
8,Italy,ITA,12,13,15,40
9,Germany,GER,12,13,8,33
10,New Zealand,NZL,10,7,3,20
11,Canada,CAN,9,7,11,27
12,Uzbekistan,UZB,8,2,3,13
13,Hungary,HUN,6,7,6,19
14,Spain,ESP,5,4,9,18
15,Brazil,BRA,3,7,10,20
16,Czech Republic,CZE,3,4,4,11
17,Sweden,SWE,4,4,3,11
18,Norway,NOR,4,2,1,7
19,Kenya,KEN,4,2,5,11
20,Ireland,IRL,4,0,3,7
21,Romania,ROU,3,4,1,8
22,Ukraine,UKR,3,5,4,12
23,Georgia,GEO,3,3,1,7
24,Ethiopia,ETH,3,0,2,5
25,Serbia,SRB,3,1,2,6
26,Cuba,CUB,2,1,6,9
27,Denmark,DEN,2,2,5,9
28,Greece,GRE,2,1,2,5
29,Switzerland,SUI,1,2,5,8
30,Bahrain,BRN,2,1,1,4
31,Portugal,POR,2,2,2,6
32,Philippines,PHI,2,2,1,5
33,Indonesia,INA,2,0,1,3
34,Algeria,ALG,2,0,1,3
35,Kosovo,KOS,2,0,0,2
36,Poland,POL,1,4,5,10
37,Iran,IRI,1,3,3,7
38,Jamaica,JAM,1,3,2,6
39,South Africa,RSA,1,3,2,6
40,Kazakhstan,KAZ,1,3,3,7
41,Azerbaijan,AZE,0,3,5,8
42,Armenia,ARM,0,3,1,4
43,Turkey,TUR,0,3,4,7
44,Egypt,EGY,1,1,1,3
45,Argentina,ARG,1,1,1,3
46,Nigeria,NGR,1,1,1,3
47,Croatia,CRO,1,2,1,4
48,Thailand,THA,1,3,2,6
49,Dominican Republic,DOM,1,0,2,3
50,Morocco,MAR,1,0,1,2
51,Ecuador,ECU,1,2,0,3
52,Panama,PAN,1,0,0,1
53,Dominica,DMA,1,0,0,1
54,St Lucia,LCA,1,0,1,2
55,Cape Verde,CPV,1,0,0,1
56,Belgium,BEL,1,1,3,5
57,Bulgaria,BUL,0,3,2,5
58,Mongolia,MGL,0,1,3,4
59,Colombia,COL,0,2,1,3
60,Israel,ISR,0,2,0,2
61,Chinese Taipei,TPE,0,0,5,5
62,Kyrgyzstan,KGZ,0,2,2,4
63,Slovenia,SLO,1,0,0,1
64,Malaysia,MAS,0,1,1,2
65,Guatemala,GUA,0,1,0,1
66,Jordan,JOR,0,1,1,2
67,Puerto Rico,PUR,0,1,0,1
68,Botswana,BOT,0,1,0,1
69,Albania,ALB,0,0,2,2
70,Tajikistan,TJK,0,0,1,1
71,Namibia,NAM,0,0,1,1
72,Grenada,GRN,0,0,1,1
73,Venezuela,VEN,0,0,1,1
74,Chile,CHI,0,0,1,1
75,Bermuda,BER,0,0,1,1
76,Finland,FIN,0,1,0,1
77,Hong Kong,HKG,0,2,1,3
78,Moldova,MDA,0,0,1,1
79,Côte d'Ivoire,CIV,1,1,1,3
80,North Macedonia,MKD,0,1,0,1
81,Singapore,SGP,0,1,0,1
82,Latvia,LAT,0,1,0,1
83,Mexico,MEX,0,0,1,1
84,Tunisia,TUN,0,1,1,2
85,Peru,PER,0,1,0,1
86,Lithuania,LTU,0,0,1,1
87,India,IND,0,1,5,6
88,Austria,AUT,2,0,1,3
89,Slovakia,SVK,1,0,0,1
90,Refugee Olympic Team,ROT,0,0,0,0
