Country,Gold Medal,Silver Medal,Bronze Medal,Total,Rank By Total
United States of America,39,41,33,113,1
People's Republic of China,38,32,18,88,2
ROC,20,28,23,71,3
Great Britain,22,21,22,65,4
Japan,27,14,17,58,5
Australia,17,7,22,46,6
Italy,10,10,20,40,7
Germany,10,11,16,37,8
Netherlands,10,12,14,36,9
France,10,12,11,33,10
Canada,7,6,11,24,11
Brazil,7,6,8,21,12
Hungary,6,7,7,20,13
Republic of Korea,6,4,10,20,14
New Zealand,7,6,7,20,15
Cuba,7,3,5,15,16
Spain,3,8,6,17,17
Ukraine,1,6,12,19,18
Czech Republic,4,4,3,11,19
Serbia,3,1,5,9,20
Jamaica,4,1,4,9,21
Poland,4,5,5,14,22
Switzerland,3,4,6,13,23
Chinese Taipei,2,4,6,12,24
Denmark,3,4,4,11,25
Sweden,3,6,0,9,26
Croatia,3,3,2,8,27
Georgia,2,5,1,8,28
Norway,4,2,2,8,29
Kenya,4,4,2,10,30
Islamic Republic of Iran,3,2,2,7,31
Turkey,2,4,1,7,32
Belgium,3,1,3,7,33
Kazakhstan,0,0,8,8,34
Ethiopia,1,1,2,4,35
India,1,2,4,7,36
Azerbaijan,0,3,4,7,37
Romania,1,3,0,4,38
Bulgaria,3,1,2,6,39
Slovenia,3,1,1,5,40
Uzbekistan,3,0,2,5,41
Colombia,0,4,1,5,42
Ecuador,2,1,0,3,43
Uganda,2,1,0,3,44
Philippines,1,2,1,4,45
Dominican Republic,1,1,2,4,46
Mongolia,0,1,3,4,47
Kosovo,2,0,0,2,48
Greece,2,1,1,4,49
Argentina,0,1,2,3,50
Morocco,1,0,0,1,51
Indonesia,1,1,3,5,52
Bermuda,1,0,0,1,53
Qatar,1,0,1,2,54
Malaysia,0,1,1,2,55
Tunisia,1,1,0,2,56
Ireland,2,0,2,4,57
Israel,2,0,2,4,58
Armenia,0,2,2,4,59
Egypt,1,1,4,6,60
Nigeria,0,1,1,2,61
Ghana,0,1,0,1,62
"Hong Kong, China",1,2,3,6,63
San Marino,0,1,2,3,64
Syria,0,0,1,1,65
Kyrgyzstan,0,2,1,3,66
Thailand,1,0,1,2,67
Portugal,1,1,0,2,68
Guatemala,0,1,0,1,69
Fiji,1,0,1,2,70
Venezuela,1,0,0,1,71
Latvia,1,0,0,1,72
Estonia,0,1,0,1,73
Singapore,1,0,1,2,74
Grenada,0,0,1,1,75
Zambia,1,0,1,2,76
Kuwait,0,0,1,1,77
Tajikistan,0,0,1,1,78
Ivory Coast,1,0,0,1,79
Republic of Moldova,0,0,1,1,80
Jordan,1,1,0,2,81
Turkmenistan,1,1,0,2,82
North Macedonia,1,0,0,1,83
Burkina Faso,0,0,1,1,84
Bahrain,1,1,0,2,85
South Africa,1,2,0,3,86
Pakistan,0,1,0,1,87
Peru,0,0,1,1,88
